Date,so2,nox,o3,pm2.5,pm10,co
01/01/2018,14.244,12.654,10.106,12.91,14.259,0.004
01/02/2018,13.515,8.444,14.838,7.011,8.906,0.004
01/03/2018,13.231,7.619,16.515,15.238,18.531,0.004
01/04/2018,12.935,8.881,11.089,5.76,8.44,0.003
01/05/2018,12.71,8.904,9.839,13.141,16.734,0.004
01/06/2018,13.351,8.004,16.915,17.66,21.219,0.004
01/07/2018,13.463,9.615,9.143,11.692,15.095,0.003
01/08/2018,12.817,13.163,11.408,12.82,16.949,0.004
01/09/2018,12.873,11.352,10.402,17.419,21.49,0.003
01/10/2018,12.875,12.356,11.445,18.277,22.316,0.003
01/11/2018,13.033,11.39,14.938,19.026,24.238,0.003
01/12/2018,13.931,12.021,9.774,27.233,33.813,0.003
1/13/2018,13.996,10.203,12.593,18.374,22.944,0.004
1/14/2018,12.436,11.08,10.529,11.338,15.285,0.004
1/15/2018,13.228,12.767,14.343,11.931,15.968,0.004
1/16/2018,13.613,9.657,11.469,13.081,17.609,0.004
1/17/2018,14.257,14.788,14.807,20.465,24.086,0.004
1/18/2018,13.796,12.441,12.977,10.605,14.754,0.004
1/19/2018,13.626,10.315,10.174,12.364,16.677,0.004
1/20/2018,13.337,8.788,10.683,17.009,21.188,0.004
1/21/2018,11.613,21.039,20.313,14.456,18.219,0.006
1/22/2018,10.338,38.979,19.779,21.675,25.903,0.004
1/23/2018,11.201,41.324,21.009,20.396,26.098,0.005
1/24/2018,9.394,36.273,20.869,17.412,22.614,0.004
1/25/2018,9.041,30.025,20.709,12.647,17.032,0.004
1/26/2018,9.174,32.051,19.717,11.847,15.932,0.004
1/27/2018,8.787,27.776,22.381,8.122,11.106,0.005
1/28/2018,8.631,25.807,21.39,10.217,14.145,0.003
1/29/2018,7.878,33.107,20.641,8.436,13.111,0.003
1/30/2018,8.709,35.085,22.235,23.744,29.568,0.004
1/31/2018,9.488,38.563,18.722,24.545,30.092,0.004
02/01/2018,8.576,38.551,19.623,9.14,13.195,0.004
02/02/2018,8.24,38.123,19.801,13.25,18.834,0.004
02/03/2018,9.139,28.581,20.396,19.236,24.223,0.004
02/04/2018,8.762,36.805,19.744,12.907,17.475,0.004
02/05/2018,8.895,35.323,19.317,13.514,18.299,0.004
02/06/2018,9.037,32.553,18.672,15.798,22.052,0.005
02/07/2018,9.578,33.394,20.084,17.696,23.7,0.005
02/08/2018,9.151,32.779,18.503,18.778,24.074,0.004
02/09/2018,9.636,33.855,18.461,19.973,26.563,0.004
02/10/2018,9.264,24.633,17.522,16.384,20.825,0.005
02/11/2018,9.52,25.62,17.898,9.701,15.024,0.005
02/12/2018,9.714,31.258,19.059,9.286,14.371,0.005
2/13/2018,9.865,32.628,19.855,19.718,25.345,0.005
2/14/2018,9.827,35.155,19.678,10.755,15.943,0.004
2/15/2018,9.737,41.925,20.015,12.813,18.403,0.004
2/16/2018,9.692,28.642,19.886,24.987,29.642,0.004
2/17/2018,9.351,31.448,19.606,13.832,19.312,0.005
2/18/2018,8.945,29.621,17.595,10.864,16.144,0.004
2/19/2018,9.395,34.004,18.918,14.45,20.405,0.004
2/20/2018,9.753,30.858,18.51,13.261,18.335,0.004
2/21/2018,9.214,43.091,19.487,21.438,28.016,0.003
2/22/2018,9.704,29.835,21.455,28.44,34.495,0.004
2/23/2018,9.485,33.001,18.895,18.401,23.655,0.004
2/24/2018,9.379,28.634,21.424,23.869,29.061,0.003
2/25/2018,9.885,29.51,20.768,23.478,29.192,0.003
2/26/2018,9.295,34.51,18.703,17.104,22.271,0.003
2/27/2018,9.243,28.849,18.526,11.558,17.038,0.003
2/28/2018,8.476,25.441,19.948,16.154,21.222,0.004
03/01/2018,9.724,27.736,19.79,14.955,24.193,0.004
03/02/2018,10.107,41.787,19.545,104.072,121.363,0.013
03/03/2018,9.939,20.274,20.703,36.898,54.975,0.004
03/04/2018,9.472,30.709,20.586,24.696,38.038,0.004
03/05/2018,8.651,29.207,17.784,8.89,31.712,0.004
03/06/2018,9.329,29.781,18.103,20.455,30.649,0.004
03/07/2018,8.598,27.854,18.06,14.037,24.776,0.004
03/08/2018,8.4,30.622,18.756,11.692,22.304,0.004
03/09/2018,9.701,33.673,19.002,20.582,31.109,0.003
03/10/2018,10.857,25.312,20.736,26.743,48.218,0.004
03/11/2018,10.364,23.12,20.829,20.384,33.538,0.004
03/12/2018,9.296,26.347,20.079,22.731,42.491,0.004
3/13/2018,8.743,31.912,20.279,22.288,41.845,0.004
3/14/2018,9.887,23.878,21.488,19.975,22.525,0.004
3/15/2018,8.941,24.296,22.605,19.049,24.814,0.005
3/16/2018,8.678,34.945,18.888,7.151,16.687,0.005
3/17/2018,8.547,32.22,17.907,15.269,23.271,0.004
3/18/2018,7.88,32.944,17.804,12.598,23.215,0.004
3/19/2018,7.718,32.09,16.424,14.408,24.255,0.004
3/20/2018,8.07,33.56,16.01,15.098,28.255,0.004
3/21/2018,8.571,24.72,18.36,16.756,28.618,0.004
3/22/2018,7.918,26.538,18.907,16.498,29.437,0.005
3/23/2018,8.154,33.077,21.894,21.027,29.183,0.005
3/24/2018,7.122,30.315,17.244,10.96,20.233,0.005
3/25/2018,8.262,36.22,17.32,18.175,25.819,0.004
3/26/2018,7.04,32.22,17.03,12.707,20.932,0.005
3/27/2018,7.723,31.847,17.616,11.889,21.744,0.005
3/28/2018,7.43,23.244,18.561,18.404,30.053,0.005
3/29/2018,7.908,24.465,19.48,19.415,34.858,0.005
3/30/2018,8.736,28.814,19.835,21.003,36.176,0.005
3/31/2018,7.006,28.047,17.839,12.51,27.798,0.005
04/01/2018,6.406,24.167,15.956,11.97,30.3,0.005
04/02/2018,6.756,23.222,17.801,11.314,27.219,0.005
04/03/2018,9.348,23.745,19.955,24.147,32.358,0.004
04/04/2018,11.611,24.553,20.047,22.752,23.609,-999
04/05/2018,11.551,21.641,19.37,31.726,31.903,-999
04/06/2018,10.774,22.932,18.443,14.345,16.418,-999
04/07/2018,12.505,24.284,19.354,10.07,11.151,-999
04/08/2018,10.138,27.432,18.38,8.183,7.044,-999
04/09/2018,10.596,26.978,16.781,10.877,13.589,-999
04/10/2018,11.911,29.125,17.42,14.835,17.846,-999
04/11/2018,11.292,23.477,18.469,15.503,19.714,-999
04/12/2018,12.238,30.649,17.345,11.69,11.666,-999
4/13/2018,12.575,27.845,15.019,11.121,17.177,-999
4/14/2018,12.522,18.842,17.298,11.657,16.735,-999
4/15/2018,12.093,29.584,15.764,13.674,20.33,-999
4/16/2018,13.97,23.923,20.672,18.78,28.855,-999
4/17/2018,13.006,23.97,17.287,17.303,26.098,-999
