Date,so2,nox,o3,pm2.5,pm10,co
08/01/2016,2,14,,4.44,5.34,
08/02/2016,1,11,,4.82,5.1,
08/03/2016,1,12,,4.11,5.02,
08/04/2016,6,12,,5.01,9.05,
08/05/2016,1,11,,4,6.2,
08/06/2016,1,10,,4.59,6.18,
08/07/2016,4,13,,1.4,2.02,
08/08/2016,11,10,,3.35,5.36,
08/09/2016,8,14,,2.17,5.14,
08/10/2016,2,13,,4.04,5.54,
08/11/2016,2,10,,4.85,6.68,
08/12/2016,2,14,,3.96,4.46,
8/13/2016,6,15,,2.26,2.69,
8/14/2016,3,16,,2.37,5.41,
8/15/2016,3,18,,2.81,6.51,
8/16/2016,2,14,,1.59,6,
8/17/2016,3,13,,2.57,6.19,
8/18/2016,1,10,,3.64,7.21,
8/19/2016,1,12,,2.63,7.25,
8/20/2016,2,10,,3.34,3.37,
8/21/2016,2,8,,3.58,6.88,
8/22/2016,3,11,,3.3,10.88,
8/23/2016,2,9,,3.96,8.31,
8/24/2016,2,8,,3.76,9.71,
8/25/2016,1,8,,4.18,13.3,
8/26/2016,2,10,,3.98,15.51,
8/27/2016,3,14,,2.14,6.61,
8/28/2016,2,15,,1.39,5.81,
8/29/2016,2,15,,0.93,3.18,
8/30/2016,3,17,,2.66,14.04,
8/31/2016,2,17,,2.63,9.96,
09/01/2016,2,14,,3.3,8.77,
09/02/2016,3,12,,4.85,13.27,
09/03/2016,2,11,,4.2,10.67,
09/04/2016,1,12,,2.33,4.8,
09/05/2016,1,13,,3.65,6.53,
09/06/2016,7,11,,5.54,7.65,
09/07/2016,2,12,,7.01,9.58,
09/08/2016,1,12,,9.68,10.73,
09/09/2016,1,16,,9.25,4.87,
09/10/2016,1,10,,11.35,5.12,
09/11/2016,1,11,,11.65,5.68,
09/12/2016,,,,11.05,5.89,
9/13/2016,,,,11.93,7.81,
9/14/2016,,,,11.18,7.96,
9/15/2016,,,,13.49,9.27,
9/16/2016,,,,15.92,4.9,
9/17/2016,,,,22.58,3.55,
9/18/2016,,,,16.51,5.23,
9/19/2016,,,,,,
9/20/2016,,,,,,
9/21/2016,,,,,,
9/22/2016,,,,,,
9/23/2016,,,,,,
9/24/2016,,,,,,
9/25/2016,,,,,,
9/26/2016,,,,,,
9/27/2016,,,,,,
9/28/2016,,,,,,
9/29/2016,,,,,,
9/30/2016,,,,,,
10/01/2016,1,12,,4.395,15,
10/02/2016,1,15,,4.7,16.719,
10/03/2016,1,14,,6.841,21.862,
10/04/2016,5,26,,3.777,16.715,
10/05/2016,5,7,,6.83,25.119,
10/06/2016,7,7,,7.137,23.857,
10/07/2016,5,9,,6.159,18.562,
10/08/2016,6,12,,3.884,12.352,
10/09/2016,6,9,,5.075,11.223,
10/10/2016,,55,,10.697,19.582,
10/11/2016,6,7,,12.199,25.916,
10/12/2016,5,6,,8.915,18.951,
10/13/2016,6,7,,6.826,16.814,
10/14/2016,6,6,,4.429,14.653,
10/15/2016,5,7,,9.395,26.468,
10/16/2016,5,5,,6.174,13.735,
10/17/2016,5,7,,2.631,9.249,
10/18/2016,6,9,,8.058,22.578,
10/19/2016,5,5,,9.943,21.812,
10/20/2016,6,5,,12.698,24.025,
10/21/2016,6,7,,12.762,24.335,
10/22/2016,5,8,,10.784,23.24,
10/23/2016,5,7,,28.383,42.79,
10/24/2016,5,9,,31.28,46.744,
10/25/2016,6,11,,49.867,78.262,
10/26/2016,6,12,,22.482,36.111,
10/27/2016,6,12,,20.101,30.662,
10/28/2016,5,12,,16.058,25.351,
10/29/2016,6,12,,,,
10/30/2016,5,16,,,,
10/31/2016,5,11,,,,
11/01/2016,5,8,,13.936,22.106,
11/02/2016,5,13,,25.967,36.52,
11/03/2016,,,,33.674,44.167,
11/04/2016,7,14,,25.292,43.502,
11/05/2016,6,12,,13.246,27.459,
11/06/2016,6,10,,16.59,31.18,
11/07/2016,5,14,,18.509,35.387,
11/08/2016,5,16,,19.079,35.42,
11/09/2016,5,21,,19.586,35.56,
11/10/2016,6,17,,47.126,72.33,
11/11/2016,6,17,,26.223,41.516,
11/12/2016,6,18,,23.438,32.378,
11/13/2016,7,17,,15.792,25.441,
11/14/2016,6,16,,23.054,32.741,
11/15/2016,5,12,,33.736,47.891,
11/16/2016,5,9,,10.891,14.325,
11/17/2016,5,10,,20.834,26.512,
11/18/2016,5,10,,38.633,43.222,
