Date,pm2.5,pm10,co,o3,so2,nox
01/01/2014,-999,-999,0,94.40525,2.0215,7.474916667
01/02/2014,-706.5833333,-574.8747083,-249.75,-146.0497917,-247.8302083,-201.1917083
01/03/2014,0.00325,20.72279167,-999,76.63529167,1.987,7.145791667
01/04/2014,0,26.296,-999,82.46170833,-39.523125,9.144458333
01/05/2014,0,16.112875,-999,76.877625,1.540875,8.890625
01/06/2014,0,16.35758333,-999,64.51766667,-40.28433333,8.203958333
01/07/2014,0.000291667,17.14925,-999,68.35466667,-123.8183333,7.48525
01/08/2014,-580.3830833,-567.8733333,-999,-6.881083333,-247.7796667,-76.09995833
01/09/2014,-999,-999,-999,80.94545833,-165.0714583,8.230333333
01/10/2014,-999,-999,-999,72.90091667,-206.886875,7.445875
01/11/2014,-613.54075,-609.1511667,-649.611125,-423.121875,-289.3867917,-106.3538333
01/12/2014,-534.4219583,-531.2534583,-518.2083333,-723.5902083,-578.5609167,-538.6884167
1/13/2014,-999,-999,-999,-999,-999,-999
1/14/2014,-999,-999,-999,-999,-999,-999
1/15/2014,-999,-999,-999,-999,-999,-999
1/16/2014,-999,-999,-999,-999,-999,-999
1/17/2014,-999,-999,-999,-999,-999,-999
1/18/2014,-999,-999,-999,-999,-999,-999
1/19/2014,-999,-999,-999,-999,-999,-999
1/20/2014,-999,-999,-999,-999,-999,-999
1/21/2014,-999,-999,-999,-999,-999,-999
1/22/2014,-499.4368333,-499.5,-499.4794583,-465.3595,-371.7314167,-369.0298333
1/23/2014,0.126083333,0,0,61.06908333,-415.133,12.49579167
1/24/2014,-374.5456667,-374.625,-374.625,-345.0119583,-457.5009167,-367.5180833
1/25/2014,-999,-999,-999,-999,-999,-999
1/26/2014,-999,-999,-999,-999,-999,-999
1/27/2014,-999,-999,-999,-999,-999,-999
1/28/2014,-999,-999,-999,-999,-999,-999
1/29/2014,-999,-999,-999,-999,-999,-999
1/30/2014,-999,-999,-999,-999,-999,-999
1/31/2014,-999,-999,-999,-999,-999,-999
02/01/2014,-999,-999,-999,-999,-999,-999
02/02/2014,-999,-999,-999,-999,-999,-999
02/03/2014,-999,-999,-999,-999,-999,-999
02/04/2014,-999,-999,-999,-999,-999,-999
02/05/2014,-999,-999,-999,-999,-999,-999
02/06/2014,-999,-999,-999,-999,-999,-999
02/07/2014,-999,-999,-999,-999,-999,-999
02/08/2014,-999,-999,-999,-999,-999,-999
02/09/2014,-999,-999,-999,-999,-999,-999
02/10/2014,-999,-999,-999,-999,-999,-999
02/11/2014,-999,-999,-999,-999,-999,-999
02/12/2014,-999,-999,-999,-999,-999,-999
2/13/2014,-915.7375417,-915.75,-915.749875,-908.3628333,-914.7133333,-915.2141667
2/14/2014,-416.080625,-416.25,-416.2482917,-361.6387083,-413.5977083,-410.056375
2/15/2014,0.127541667,0,4.17E-05,92.69433333,2.633125,18.94333333
2/16/2014,0.127458333,0,0,89.75091667,-332.3694167,16.124
2/17/2014,0.126416667,0,0.000166667,95.44725,-373.8615,16.611875
2/18/2014,0.126041667,0,0,-323.8870833,-276.4324167,-72.16420833
2/19/2014,0.126375,0,0,93.172125,-373.1215,15.86658333
2/20/2014,0.125375,0,0,84.95445833,-540.1355417,18.58483333
2/21/2014,0.124458333,0,0,77.21333333,-832.098625,14.86279167
2/22/2014,0.124708333,0,0,33.94275,-596.165375,-20.19608333
2/23/2014,0.124125,0,0,68.35983333,-872.6285833,18.47454167
2/24/2014,-208.0267917,-208.125,-208.12475,-154.8307917,-706.3749583,-237.4549167
2/25/2014,-999,-999,-999,-999,-999,-999
2/26/2014,-416.047375,-416.25,-416.2469583,-374.4725417,-957.322,-409.6362917
2/27/2014,0.124958333,0,0,61.50904167,-787.5377917,11.40154167
2/28/2014,0.126208333,0,0,59.06758333,-956.751,10.50920833
03/01/2014,0.125208333,0,0,64.947,-867.4185417,13.929375
03/02/2014,0.123541667,0,0,63.45616667,-873.972,11.08416667
03/03/2014,0.124833333,0,0,56.696125,-957.206,8.734666667
03/04/2014,0.125375,0,0,58.73695833,-790.3235417,10.54316667
03/05/2014,-332.916875,-333,-333,-290.6997917,-915.6442083,-325.6065
03/06/2014,-999,-999,-999,-999,-999,-999
03/07/2014,-999,-999,-999,-999,-999,-999
03/08/2014,-999,-999,-999,-999,-999,-999
03/09/2014,-999,-999,-999,-999,-999,-999
03/10/2014,-999,-999,-999,-999,-999,-999
03/11/2014,-999,-999,-999,-999,-999,-999
03/12/2014,-999,-999,-999,-999,-999,-999
3/13/2014,-999,-999,-999,-999,-999,-999
3/14/2014,-999,-999,-999,-999,-999,-999
3/15/2014,-999,-999,-999,-999,-999,-999
3/16/2014,-999,-999,-999,-999,-999,-999
3/17/2014,-999,-999,-999,-999,-999,-999
3/18/2014,-536.8194583,-537.349,-541.1197083,-501.0773333,-582.180625,-534.3604583
3/19/2014,10.61679167,11.7745,0,78.80520833,-39.11845833,14.74558333
3/20/2014,4.095541667,8.111416667,0,64.62229167,-39.85883333,13.78475
3/21/2014,1.87425,3.768583333,0,60.536,-165.278125,9.82275
3/22/2014,4.25625,10.543875,0,62.35141667,-248.9869583,9.843375
3/23/2014,1.982916667,13.88075,0,60.91070833,-332.5225833,7.768708333
3/24/2014,1.964833333,14.92545833,0,58.73316667,-332.1392083,7.9605
3/25/2014,4.600416667,18.73254167,0,58.21483333,-373.7226667,7.518833333
3/26/2014,2.151708333,11.670375,0,58.702125,-290.4851667,8.089041667
3/27/2014,0.944291667,16.14966667,0,61.82570833,-164.0519167,8.549166667
3/28/2014,2.269708333,15.42995833,0,55.93554167,-289.771375,8.123
3/29/2014,1.44025,9.145666667,0,53.508375,-373.9252917,10.85254167
3/30/2014,1.660333333,10.69816667,0,54.89333333,-248.9657083,9.465791667
3/31/2014,1.764125,14.79629167,0,58.10541667,-374.106125,7.136083333
04/01/2014,1.624916667,15.48033333,0,57.88475,-123.0578333,9.393458333
04/02/2014,1.887916667,10.12254167,0,55.94516667,-415.3021667,8.142333333
04/03/2014,-163.9584167,-158.7756667,-166.4994167,-121.6948333,-582.3485,-158.8136667
04/04/2014,0.890166667,4.143958333,0,54.41766667,-457.3025833,6.820875
04/05/2014,1.817916667,7.924625,0,46.824625,-124.30025,8.378458333
04/06/2014,1.408375,8.455375,0,51.13879167,-248.892375,9.625041667
04/07/2014,1.645833333,6.476708333,0,55.25279167,-499.0794167,6.424583333
04/08/2014,1.460083333,4.687625,0,53.86695833,-331.911875,4.399083333
04/09/2014,10.95283333,16.82858333,0,52.71120833,-332.3991667,8.571166667
04/10/2014,1.651958333,5.671916667,0,55.2885,-332.3627917,7.657041667
04/11/2014,0.820333333,6.787875,0,54.49308333,-248.9570833,9.566833333
04/12/2014,-415.2928333,-410.3505,-416.25,-385.7565,-457.2755417,-410.1318333
4/13/2014,-999,-999,-999,-999,-999,-999
4/14/2014,-999,-999,-999,-999,-999,-999
4/15/2014,-999,-999,-999,-999,-999,-999
4/16/2014,-415.8180417,-415.6419583,-416.235625,-956.536375,-411.349875,-950.4334167
4/17/2014,-749.0715833,-749.034125,-749.25,-999,-740.9893333,-957.2329167
4/18/2014,-582.4849167,-582.491375,-582.70275,-999,-620.661125,-662.64275
4/19/2014,-415.50025,-413.9472083,-416.2492917,-999,-410.7129583,-411.105375
4/20/2014,-999,-999,-999,-999,-999,-999
4/21/2014,-999,-999,-999,-999,-999,-999
4/22/2014,-915.7303333,-915.75,-915.6627917,-999,-957.246625,-956.6839167
4/23/2014,-999,-999,-999,-999,-999,-999
4/24/2014,-999,-999,-999,-999,-999,-999
4/25/2014,-999,-999,-999,-999,-999,-999
4/26/2014,-999,-999,-999,-999,-999,-999
4/27/2014,-498.848375,-499.0730833,-499.4332083,-533.4977083,-538.3236667,-534.9222083
4/28/2014,2.971291667,1.848458333,0,20.57220833,5.199583333,15.14608333
4/29/2014,3.389125,2.860916667,0,23.03791667,2.271541667,13.69545833
4/30/2014,2.5445,2.273916667,0,23.66704167,2.509958333,14.70083333
05/01/2014,3.34525,2.964083333,0.005,23.26408333,2.246625,19.349625
05/02/2014,3.720166667,3.385458333,0.000375,24.31591667,1.835125,18.317375
05/03/2014,2.728791667,2.567541667,0,23.60008333,2.3705,21.50058333
05/04/2014,3.43475,3.114125,0,24.23425,1.928291667,17.806125
05/05/2014,3.3435,3.105333333,0.000291667,25.37654167,2.372916667,19.8335
05/06/2014,2.553541667,2.402708333,0,38.56804167,4.656333333,18.99516667
05/07/2014,2.477708333,2.292791667,0,24.30304167,2.437708333,18.690375
05/08/2014,1.932708333,1.844291667,0,29.17875,3.239583333,15.07883333
05/09/2014,2.962958333,2.798375,0,31.01670833,1.861291667,12.784625
05/10/2014,3.565541667,3.313916667,0,29.3135,3.062416667,14.38225
05/11/2014,3.091916667,3.964875,0.000125,20.69875,-35.90583333,25.14908333
05/12/2014,3.398666667,3.168583333,0,-202.3664167,-204.6589583,15.59425
5/13/2014,2.454958333,2.300708333,0.000541667,-285.5319583,-162.3817083,18.18066667
5/14/2014,2.917708333,2.695416667,0,-365.6194583,-415.0433333,17.623125
5/15/2014,8.748541667,13.02191667,0.014291667,-285.1573333,-455.174625,16.72754167
5/16/2014,3.816041667,13.06929167,0,-245.2724583,-581.6490833,12.97208333
5/17/2014,1.807875,8.966,0,-285.401125,-748.814,11.74308333
5/18/2014,1.408875,8.95875,0,-243.8003333,-748.9482083,13.97241667
5/19/2014,1.317625,6.5595,0.000125,-368.5505833,-707.0670417,18.34958333
5/20/2014,1.158125,5.634875,0,-196.08375,-581.4292917,16.24604167
5/21/2014,1.1755,8.191125,0.000166667,-240.7140833,-331.0035833,15.2885
5/22/2014,0.736166667,4.105916667,0,-366.5755833,-706.9620833,15.8925
5/23/2014,0.1245,0,0,-159.0201667,-915.6828333,15.34620833
5/24/2014,0.125583333,0,0.000791667,-242.042875,-582.316,15.974625
5/25/2014,0.126291667,0,0.001291667,13.86504167,-330.8730417,12.93233333
5/26/2014,0.12325,0,0,-69.68941667,-206.9282083,11.17133333
5/27/2014,0.125208333,0,0,-29.67054167,-414.8475417,12.22266667
5/28/2014,0.122375,0,0.0005,-29.081375,-206.0235,15.30941667
5/29/2014,0.124875,0,0.001083333,15.84516667,-81.46904167,17.88083333
5/30/2014,0.123,0,0,14.44045833,-123.595875,13.71275
5/31/2014,0.122791667,0,0,22.80916667,-38.86916667,16.45091667
06/01/2014,0.124666667,0,0.002,17.62066667,-39.500125,16.10966667
06/02/2014,0.129458333,0,0.000625,18.956625,-39.25970833,11.0885
06/03/2014,0.122916667,0,0,31.86208333,-37.70041667,13.58191667
06/04/2014,0.122166667,0,0.001458333,20.4025,-38.69179167,10.599
06/05/2014,0.122458333,0,0,19.86125,-39.96329167,12.647875
06/06/2014,0.122083333,0,0.002791667,18.57208333,2.092583333,13.29204167
06/07/2014,0.123,0,0.000458333,20.24033333,-39.57020833,12.625125
06/08/2014,0.124,0,0.000666667,23.51208333,2.75225,10.84241667
06/09/2014,0.123333333,0,0.004208333,22.45929167,-38.778,10.209625
06/10/2014,0.127,0.002416667,0.000208333,21.57483333,-37.04641667,11.93758333
06/11/2014,0.1215,0,0.001458333,21.85570833,-39.59391667,12.13833333
06/12/2014,0.12025,0,0.001416667,32.41241667,3.670708333,12.41133333
6/13/2014,0.1225,0,0.005208333,22.97745833,2.523541667,12.048375
6/14/2014,0.120833333,0,0.144166667,21.563,1.777375,10.35983333
6/15/2014,0.121125,0,0.151083333,20.086625,-39.68070833,9.737041667
6/16/2014,0.120875,0,0.153958333,23.78975,-39.28741667,6.472916667
6/17/2014,0.122208333,0,0.173208333,-146.062875,-161.308375,-63.0785
